NO,gender,exp,marry,edu,farm,gov,wage ,lnwage
212,0,0.625,0,1.2,0,0,20000,4.301
213,0,1.05,1,0.9,0,0,20000,4.301
214,1,1.175,1,1.2,0,1,16000,4.2041
215,1,1.3,1,0.6,0,0,18000,4.2553
216,1,0.7,0,1.6,0,0,25000,4.3979
217,0,1,1,0.9,0,0,35000,4.5441
218,0,1.275,1,0.9,0,0,30000,4.4771
219,0,1.1,1,1.2,0,1,36000,4.5563
220,1,1.125,1,1.2,0,0,18000,4.2553
221,0,1.4,1,1.4,0,1,45000,4.6532
222,0,1,0,0.6,0,0,30000,4.4771
223,0,1.3,0,1.2,0,0,28000,4.4472
224,0,1.175,1,1.2,0,0,30000,4.4771
225,0,1.2,1,1.2,0,0,35000,4.5441
226,1,0.55,0,1.2,0,0,20000,4.301
227,0,0.525,0,1.6,0,0,25000,4.3979
228,0,0.95,1,1.2,0,0,38000,4.5798
229,0,1.1,1,1.2,0,0,39000,4.5911
230,0,1.025,1,1.2,0,0,35000,4.5441
231,0,1.125,1,1.4,0,0,35000,4.5441
232,0,0.9,1,1.6,0,1,45000,4.6532
233,1,0.75,1,1.6,0,1,40000,4.6021
234,0,1,1,1.4,0,0,38000,4.5798
235,0,0.975,1,0.9,1,0,21000,4.3222
236,1,0.925,1,1.4,0,1,40000,4.6021
237,0,1,1,1.4,0,1,40000,4.6021
238,0,0.8,1,1.4,0,0,30000,4.4771
239,1,0.75,1,1.4,0,1,23000,4.3617
240,0,0.925,1,1.4,0,1,45000,4.6532
241,0,0.75,0,1.6,0,1,42000,4.6232
242,0,0.5,0,1.2,0,0,21000,4.3222
243,0,1.25,1,1.2,0,0,34000,4.5315
244,1,1.025,1,0.9,0,0,17500,4.243
245,0,1.275,1,0.6,1,0,20000,4.301
246,0,0.6,0,0.9,0,0,22750,4.357
247,0,1.4,1,0.6,0,0,25000,4.3979
248,0,0.675,0,0.9,0,0,18000,4.2553
249,0,0.6,0,0.9,0,0,24000,4.3802
250,0,0.975,1,1.4,0,0,39375,4.5952
251,0,1.05,1,1.6,0,1,60000,4.7782
252,1,0.775,1,1.6,0,1,40000,4.6021
253,1,0.75,0,1.6,0,1,28000,4.4472
254,1,1.125,0,1.4,0,0,20000,4.301
255,0,1.075,1,0.9,0,0,21875,4.3399
256,1,1.075,1,0.9,0,0,14000,4.1461
257,0,0.4,0,0.9,0,0,18000,4.2553
258,0,1.025,1,1.2,0,0,28000,4.4472
259,1,1.325,1,0.6,0,0,18000,4.2553
260,0,0.45,0,0.9,0,0,20000,4.301
261,0,0.9,1,0.9,0,0,28000,4.4472
262,0,1.075,1,0.9,0,0,21000,4.3222
263,0,0.625,0,1.4,0,0,18000,4.2553
264,0,0.575,0,1.4,0,0,18000,4.2553
265,1,1.425,1,0.9,0,0,16000,4.2041
266,0,0.975,1,0.9,0,0,25000,4.3979
267,1,0.925,1,0.9,0,0,10000,4
268,1,1.35,1,0.6,0,0,15750,4.1973
269,0,1.4,1,0.9,0,1,40000,4.6021
270,0,0.875,0,1.4,0,0,22750,4.357
271,1,0.775,0,0.9,0,0,17500,4.243
272,1,0.425,0,1.2,0,0,12000,4.0792
273,0,0.825,0,1.2,0,0,24000,4.3802
274,1,0.925,1,0.9,0,0,15000,4.1761
275,0,0.675,0,0.9,0,0,17500,4.243
276,0,0.525,0,1.2,0,0,18000,4.2553
277,0,0.65,0,1.4,0,0,18000,4.2553
278,0,1.05,1,0.9,0,0,25000,4.3979
279,1,1.075,1,0.9,0,0,17500,4.243
280,0,0.525,0,1.4,0,0,13125,4.1181
281,0,0.475,0,1.2,0,0,15000,4.1761
282,0,0.85,1,1.2,0,1,45000,4.6532
283,0,0.625,0,1.6,1,0,25000,4.3979
284,0,0.75,1,0.9,0,0,40000,4.6021
285,1,0.6,0,1.2,0,0,12800,4.1072
286,1,0.575,0,1.2,0,0,12800,4.1072
287,0,1.025,1,0.9,0,0,43750,4.641
288,0,0.875,1,0.9,0,0,15000,4.1761
289,0,0.85,1,1.4,0,0,39375,4.5952
290,0,0.725,0,0.9,0,0,26250,4.4191
291,0,0.625,0,0.9,0,0,24500,4.3892
292,0,1.625,1,0.6,0,0,11880,4.0748
293,1,0.875,1,1.2,0,0,13333.3333,4.1249
294,0,0.85,1,0.9,0,0,24000,4.3802
295,1,0.5,0,1.2,0,0,17500,4.243
296,0,0.925,1,1.4,0,1,32000,4.5051
297,0,0.575,0,1.2,0,0,28000,4.4472
298,1,0.55,0,1.4,0,0,13125,4.1181
299,1,1.05,1,1.4,0,0,19200,4.2833
300,0,1.025,1,1.2,0,0,21000,4.3222
301,0,1,1,1.2,0,0,8750,3.942
302,0,0.95,1,0.9,0,0,28000,4.4472
303,1,1.275,1,1.2,0,0,15750,4.1973
304,0,0.7,0,1.6,0,0,22000,4.3424
305,0,1.425,1,1.2,0,0,15750,4.1973
306,1,0.725,0,1.6,0,0,15750,4.1973
307,0,0.675,0,1.2,0,0,20125,4.3037
308,1,0.6,0,1.6,0,1,15840,4.1998
309,0,0.9,0,0.9,0,0,30000,4.4771
310,0,1.15,1,0.9,0,0,28875,4.4605
311,1,1,1,0.9,0,0,10500,4.0212
312,0,1.15,1,1.2,0,0,30625,4.4861
313,1,1.125,1,1.2,0,0,18500,4.2672
314,0,1.25,1,0.9,0,0,35000,4.5441
315,1,1.125,1,0.9,0,0,21000,4.3222
316,1,0.525,0,0.9,0,0,17500,4.243
317,0,0.475,0,0.9,0,0,22000,4.3424
318,0,0.825,1,1.4,0,0,42000,4.6232
319,0,1.4,1,0.9,0,1,35000,4.5441
320,0,1.1,1,1.2,0,1,33000,4.5185
321,1,0.925,1,1.2,0,0,28000,4.4472
322,1,1.2,1,0.9,0,0,25000,4.3979
323,0,1.3,1,0.9,0,0,45000,4.6532
324,1,0.675,0,1.4,0,1,32000,4.5051
325,1,0.6,0,1.6,0,1,15840,4.1998
326,1,1.3,1,0.6,0,0,25000,4.3979
327,0,1.35,1,0.6,0,1,45000,4.6532
328,1,0.65,1,1.4,0,0,28000,4.4472
329,0,0.625,1,1.2,0,0,22750,4.357
330,1,0.975,1,1.4,0,1,55000,4.7404
331,1,1.35,1,0.6,0,0,15750,4.1973
332,0,1.375,1,0.6,0,0,43750,4.641
333,0,0.6,0,1.2,0,0,10500,4.0212
334,0,0.575,0,0.9,0,0,28000,4.4472
335,1,0.425,0,0.9,0,0,10500,4.0212
336,0,0.9,1,1.2,0,0,35000,4.5441
337,1,0.85,1,1.2,0,1,35000,4.5441
338,0,0.95,1,1.6,0,1,62000,4.7924
339,1,0.9,1,1.6,0,1,52000,4.716
340,0,1.325,1,1.4,0,1,62000,4.7924
341,0,0.9,1,1.4,0,1,72000,4.8573
342,0,1.575,1,0.6,0,0,18000,4.2553
343,1,1.1,1,0.6,0,0,16000,4.2041
344,0,0.65,0,0.9,0,0,28000,4.4472
345,0,1.35,1,0.6,1,0,25000,4.3979
346,1,1.375,1,0,0,0,18000,4.2553
347,1,0.8,1,0.9,0,0,6125,3.7871
348,1,1.25,1,0.6,0,0,21875,4.3399
349,0,1.275,1,1.2,0,1,45000,4.6532
350,1,0.8,1,0.9,0,0,5000,3.699
351,0,0.775,1,0.9,0,0,25000,4.3979
352,1,0.825,0,0.9,1,0,17181.8182,4.2351
353,0,0.675,0,0.9,0,0,28000,4.4472
354,1,0.55,0,1.2,0,0,19000,4.2788
355,0,1.275,1,0.6,0,0,28000,4.4472
356,1,1.05,1,0.9,0,0,16000,4.2041
357,0,1.575,1,0.6,0,0,20000,4.301
358,0,0.9,1,1.2,0,1,40000,4.6021
359,1,0.75,1,1.2,1,0,17181.8182,4.2351
360,0,0.775,1,0.9,0,0,24500,4.3892
361,1,1.225,1,0.6,0,0,10000,4
362,0,1.025,0,0.6,0,1,15840,4.1998
363,1,0.975,1,1.2,0,0,23000,4.3617
364,0,1.4,1,1.2,0,0,33600,4.5263
365,1,1.275,1,0.6,0,0,10000,4
366,0,1.25,1,0.6,0,0,26250,4.4191
367,1,1.15,1,0.9,1,0,11375,4.056
368,0,1.075,1,0.9,0,0,40000,4.6021
369,0,0.9,1,0.9,0,0,40000,4.6021
370,1,1.275,1,0.6,0,0,8000,3.9031
371,1,1.5,1,0.6,0,0,5250,3.7202
372,0,0.9,0,1.2,0,0,25000,4.3979
373,0,1.3,1,0.6,0,1,25200,4.4014
374,1,1.2,1,0.6,0,0,14000,4.1461
375,1,1.075,1,0.9,0,0,8750,3.942
376,0,0.45,0,1.2,0,0,12409.0909,4.0937
377,0,0.95,1,1.6,0,1,40000,4.6021
378,1,0.9,1,1.6,0,1,35000,4.5441
379,0,1.25,1,0.9,0,0,26250,4.4191
380,1,1.15,1,0.9,0,0,9625,3.9834
381,0,0.875,1,1.4,0,1,43750,4.641
382,0,1.2,1,0.6,0,0,30000,4.4771
383,1,1.275,1,0.6,0,0,10000,4
384,1,0.65,1,0.9,0,0,14000,4.1461
385,1,0.8,0,1.2,0,0,28000,4.4472
386,1,0.725,0,1.4,0,0,17500,4.243
387,1,0.8,0,1.2,0,0,14875,4.1725
388,1,0.9,1,0.9,0,0,15750,4.1973
389,0,1.3,1,0.9,0,1,57000,4.7559
390,1,1.225,1,0.9,0,0,14000,4.1461
391,0,0.725,0,1.6,0,1,44000,4.6435
392,0,1.225,1,1.2,0,0,30000,4.4771
